,Name,Type,Area,Neighborhood,Address,Lat,Long,Price,Comida_rating,Servicio_rating,Ambiente_rating,Votes,Menu_ejecutivo,Acceso_discapacitados,Estacionamientos,Kosher,Wifi,Domicilio,Dog_friendly,agg_rating,text
7,Krispy Kreme (Costa del Este) ,['Internacional'],Panamá,Costa del Este,Avenida Centenario. Sky Plaza,9.0160811604585,-79.472082853317,10,4.7,4.3,4.1,622,0,1,1,0,0,0,0,13.1,Krispy Kreme (Costa del Este)  (622 Check-ins)<br>Price: $10.<br>Rating: 13.1/15.
15,Ay Mi Negra ,['Creativa'],Panamá,Casco Antiguo,"Avenida B, Casa Perez. (Hotel Tantalo a la izquierda)",8.9531944227996,-79.535088613629,10,4.6,4.3,4.0,980,0,0,0,0,1,0,0,12.899999999999999,Ay Mi Negra  (980 Check-ins)<br>Price: $10.<br>Rating: 12.9/15.
20,Artisana 1984 ,['Internacional'],Panamá,El Carmen/El Cangrejo,Avenida José Isaac Fábrega Casa Nro. 46,8.9917353991485,-79.52513158321399,10,4.6,4.2,4.1,226,0,0,1,0,1,0,0,12.9,Artisana 1984  (226 Check-ins)<br>Price: $10.<br>Rating: 12.9/15.
167,Don Tiritón ,['Venezolana'],Panamá,Costa del Este,"Av. Centenario, de Plaza 507 local Nro. 8",9.0173581196652,-79.462613873211,10,4.1,3.7,3.2,251,0,0,0,0,0,0,0,11.0,Don Tiritón  (251 Check-ins)<br>Price: $10.<br>Rating: 11.0/15.
85,Nandy's Grill (Betania) ,['Parrillada'],Panamá,El Dorado/Bethania,"Av. La Paz con calle 74 oeste, El Ingenio",9.0198850265129,-79.52263712883,10,4.2,3.4,3.0,121,1,0,1,0,0,1,0,10.6,Nandy's Grill (Betania)  (121 Check-ins)<br>Price: $10.<br>Rating: 10.6/15.
34,La Empanaderia ,['Internacional'],Panamá,Obarrio,"Calle 56 este,  Plaza Centuria, Local 3",8.988192,-79.52136209999999,10,4.5,4.5,4.4,171,0,1,1,0,0,0,0,13.4,La Empanaderia  (171 Check-ins)<br>Price: $10.<br>Rating: 13.4/15.
150,Noel ,"['Pastelería', 'Francesa']",Panamá,El Carmen/El Cangrejo,Av. 2da C Norte,8.9943634427009,-79.521306753159,10,4.3,4.0,3.7,135,0,1,1,0,0,1,0,12.0,Noel  (135 Check-ins)<br>Price: $10.<br>Rating: 12.0/15.
153,Ferretti Gelato e Caffe (Multiplaza) ,['Internacional'],Panamá,Paitilla/Punta Pacifica,"Vía Israel, Multiplaza Pacific",8.986608,-79.51120999999999,10,4.3,4.1,3.9,97,0,1,1,0,1,0,0,12.299999999999999,Ferretti Gelato e Caffe (Multiplaza)  (97 Check-ins)<br>Price: $10.<br>Rating: 12.3/15.
154,Deli Market Golden Koi ,['China'],Panamá,El Dorado/Bethania,"Entrada a los estacionamientos del Centro Comercial el Dorado, frente al Scotiabank",9.0073132989147,-79.53602738678501,11,4.3,3.6,3.1,97,0,1,1,0,0,0,0,11.0,Deli Market Golden Koi  (97 Check-ins)<br>Price: $11.<br>Rating: 11.0/15.
106,Shawarmix ,['Libanesa'],Panamá,Paitilla/Punta Pacifica,Mall Multiplaza Pacific,8.9848516,-79.5106839,11,4.0,3.8,3.3,110,0,0,0,0,0,0,0,11.1,Shawarmix  (110 Check-ins)<br>Price: $11.<br>Rating: 11.1/15.
132,El Pollito al Grill ,['Pollo Asado'],Panamá,Condado del Rey,"Plaza Las Rokas, local No. 9, al frente de Green Park",9.028269,-79.524783,11,4.5,4.0,3.3,113,0,1,0,0,1,1,0,11.8,El Pollito al Grill  (113 Check-ins)<br>Price: $11.<br>Rating: 11.8/15.
152,Chicken Sabroso (Clayton) ,['Parrillada'],Panamá,Albrook/Clayton,"Plaza comercial Ciudad del Saber, diagonal al Colegio Balboa",9.0022636,-79.5825145,11,4.3,4.1,3.7,101,1,1,1,0,1,1,0,12.099999999999998,Chicken Sabroso (Clayton)  (101 Check-ins)<br>Price: $11.<br>Rating: 12.1/15.
97,Q Pepitos (San Francisco) ,"['Venezolana', 'Comida Rápida']",Panamá,San Francisco,Calle 73 diagonal a Power Club,8.9901504836222,-79.506100304425,11,4.1,3.6,3.4,120,1,1,1,0,1,1,0,11.1,Q Pepitos (San Francisco)  (120 Check-ins)<br>Price: $11.<br>Rating: 11.1/15.
175,The Coffee Bean & Tea Leaf (San Francisco) ,['Internacional'],Panamá,San Francisco,Via Israel,8.9876323790539,-79.506895663973,11,4.0,4.2,4.3,78,0,1,1,0,1,0,0,12.5,The Coffee Bean & Tea Leaf (San Francisco)  (78 Check-ins)<br>Price: $11.<br>Rating: 12.5/15.
114,Q Pepitos (Condado del Rey) ,"['Comida Rápida', 'Venezolana']",Panamá,Condado del Rey,Plaza Altos de Panamá local 2,9.027254759287901,-79.524482488632,11,3.9,3.4,3.1,98,0,1,1,0,1,1,0,10.4,Q Pepitos (Condado del Rey)  (98 Check-ins)<br>Price: $11.<br>Rating: 10.4/15.
140,Rosselot (Multiplaza) ,['Pastelería'],Panamá,Paitilla/Punta Pacifica,"Planta baja, Multiplaza.",8.9848472912746,-79.510577917099,11,4.4,3.9,3.6,224,0,1,1,0,0,0,0,11.9,Rosselot (Multiplaza)  (224 Check-ins)<br>Price: $11.<br>Rating: 11.9/15.
99,Wing Zone (Altaplaza Mall) ,['Americana'],Panamá,Condado del Rey,"Via Centenario, Altaplaza Mall",9.029946119709901,-79.534342288971,11,4.1,3.6,3.6,100,0,1,1,0,0,0,0,11.299999999999999,Wing Zone (Altaplaza Mall)  (100 Check-ins)<br>Price: $11.<br>Rating: 11.3/15.
0,Rosselot (Multiplaza) ,['Pastelería'],Panamá,Paitilla/Punta Pacifica,"Planta baja, Multiplaza.",8.9848472912746,-79.510577917099,11,4.4,3.9,3.6,224,0,1,1,0,0,0,0,11.9,Rosselot (Multiplaza)  (224 Check-ins)<br>Price: $11.<br>Rating: 11.9/15.
36,Starbucks (Plaza Penta) ,['Internacional'],Panamá,Marbella/Area Bancaria,"Avenida Ricardo Arango, Plaza Penta",8.9822469965036,-79.524078816175,11,4.5,4.5,4.7,112,0,1,1,0,1,0,0,13.7,Starbucks (Plaza Penta)  (112 Check-ins)<br>Price: $11.<br>Rating: 13.7/15.
56,Rocky Mountain Chocolate Factory ,['Internacional'],Panamá,Paitilla/Punta Pacifica,"Vía Israel, Multiplaza Mall en frente de La Tienda Lego",8.9855049878079,-79.510405661942,11,4.4,4.4,4.3,122,0,1,1,0,0,0,0,13.100000000000001,Rocky Mountain Chocolate Factory  (122 Check-ins)<br>Price: $11.<br>Rating: 13.1/15.
21,La Suiza ,['Panadería'],Panamá,Marbella/Area Bancaria,"Calle Ricardo Arias, Zona Bancaria. PH Macondo. Local No. 1",8.9828728969753,-79.524967968464,11,4.6,4.5,4.3,203,0,1,0,0,1,0,0,13.399999999999999,La Suiza  (203 Check-ins)<br>Price: $11.<br>Rating: 13.4/15.
65,Starbucks (Multiplaza) ,['Internacional'],Panamá,Paitilla/Punta Pacifica,"Vía Israel C. C. Comercial Multiplaza, PB",8.986214326177599,-79.51068520545999,11,4.3,4.1,4.1,326,0,1,1,0,1,0,0,12.499999999999998,Starbucks (Multiplaza)  (326 Check-ins)<br>Price: $11.<br>Rating: 12.5/15.
51,Starbucks (Atrio Mall) ,['Internacional'],Panamá,Costa del Este,"Avenida Marina del Norte, Atrio Mall",9.021510385936699,-79.46265321224901,11,4.4,4.5,4.5,165,0,1,1,0,0,0,0,13.4,Starbucks (Atrio Mall)  (165 Check-ins)<br>Price: $11.<br>Rating: 13.4/15.
49,Gelatiamo (Altaplaza Mall) ,['Italiana'],Panamá,Condado del Rey,"Via Centenario, Mall Altaplaza",9.0310004823376,-79.533729047699,11,4.4,4.3,3.9,174,0,1,1,0,1,0,0,12.6,Gelatiamo (Altaplaza Mall)  (174 Check-ins)<br>Price: $11.<br>Rating: 12.6/15.
48,Ibakery 888 ,['Internacional'],Panamá,El Dorado/Bethania,"Calle 71B Este, en frente de Melo",9.0068341366671,-79.53646324574899,11,4.4,4.2,4.2,181,0,1,1,0,0,0,0,12.8,Ibakery 888  (181 Check-ins)<br>Price: $11.<br>Rating: 12.8/15.
16,Los Venezolanos ,"['Venezolana', 'Panadería']",Panamá,El Carmen/El Cangrejo,"Vía Argentina, Edificio Don Julio, PB Local 1",8.9886834536668,-79.526038169861,11,4.6,3.7,3.3,562,0,0,0,0,1,0,0,11.600000000000001,Los Venezolanos  (562 Check-ins)<br>Price: $11.<br>Rating: 11.6/15.
74,Arepas Vía España ,['Colombiana'],Panamá,San Francisco,"Vía Porras, en frente de calle 66",8.9958483318572,-79.51327722519599,11,4.3,4.1,3.6,134,0,1,1,0,0,0,0,11.999999999999998,Arepas Vía España  (134 Check-ins)<br>Price: $11.<br>Rating: 12.0/15.
46,Starbucks (Via Brasil) ,['Internacional'],Panamá,Paitilla/Punta Pacifica,"Entre Via Brasil y Via Israel, Centro Comercial Street Mall",8.9847051655036,-79.513972611114,11,4.4,4.5,4.6,328,0,1,1,0,1,0,0,13.5,Starbucks (Via Brasil)  (328 Check-ins)<br>Price: $11.<br>Rating: 13.5/15.
32,Fonda la Especial ,['China'],Panamá,El Dorado/Bethania,"Boulevard el Dorado, Diagonal al Super 99",9.0077366530424,-79.53583606627,11,4.5,3.8,3.3,184,0,0,0,0,0,0,0,11.600000000000001,Fonda la Especial  (184 Check-ins)<br>Price: $11.<br>Rating: 11.6/15.
39,4 Minds ,"['Comida Rápida', 'De Autor']",Panamá,El Dorado/Bethania,Av 23E Norte y Avenida 12D Norte,9.0171310179717,-79.523704648018,11,4.5,4.4,4.4,98,0,0,0,0,0,0,0,13.3,4 Minds  (98 Check-ins)<br>Price: $11.<br>Rating: 13.3/15.
47,Starbucks (Altaplaza Mall) ,['Internacional'],Panamá,Condado del Rey,"Altaplaza Mall, local 1 205A",9.0296825389598,-79.533646607935,11,4.4,4.4,4.4,296,0,1,1,0,1,0,0,13.200000000000001,Starbucks (Altaplaza Mall)  (296 Check-ins)<br>Price: $11.<br>Rating: 13.2/15.
59,Casual Kitchen ,['Internacional'],Panamá,Costa del Este,"Av. Paseo del Mar, MMG Tower, piso 2, a nivel del estacionamiento",9.0081921137124,-79.477286328836,11,4.4,4.4,4.4,88,1,1,1,0,1,1,0,13.200000000000001,Casual Kitchen  (88 Check-ins)<br>Price: $11.<br>Rating: 13.2/15.
156,Super Gourmet ,"['Gourmet', 'Saludable']",Panamá,Casco Antiguo,Avenida A y Calle 6ta,8.952163,-79.534943,12,4.3,4.5,4.2,94,1,0,0,0,1,0,0,13.0,Super Gourmet  (94 Check-ins)<br>Price: $12.<br>Rating: 13.0/15.
28,Athanasiou (Albrook) ,['Griega'],Panamá,Albrook/Clayton,"Calle Demetrio Korsi, Centro comercial Paseo Albrook",8.9716896461001,-79.560538117444,12,4.5,4.3,4.3,282,0,1,1,0,0,0,0,13.100000000000001,Athanasiou (Albrook)  (282 Check-ins)<br>Price: $12.<br>Rating: 13.1/15.
27,Karamel Pastry Shop ,['Pastelería'],Panamá,Obarrio,"Calle 57, con Av. Ricardo Arango",8.985196667206802,-79.518333859742,12,4.5,4.5,4.6,581,0,0,1,0,1,0,0,13.6,Karamel Pastry Shop  (581 Check-ins)<br>Price: $12.<br>Rating: 13.6/15.
